# id	name	entry	idglob	caller	site
360	LineChartType	143394748	142ADFD48	1400831C0	140088F03
361	linewidth	143394790	142ADFD68	1400831C0	140088F3C
362	flipu	1433947D8	142ADFD88	1400831C0	140088F75
363	flipv	143394820	142ADFDA8	1400831C0	140088FAE
364	pdx_tooltip	143394868	142ADFDC8	1400831C0	140088FE7
365	pdx_tooltip_delayed	1433948B0	142ADFDE8	1400831C0	140089020
366	use_animation	1433948F8	142ADFE04	1400831C0	140089059
367	vertical	143394940	142ADFE28	1400831C0	140089092
368	cull_distance	143394988	142ADFE44	1400831C0	1400890CB
369	tilingCenter	1433949D0	142ADFE68	1400831C0	140089104
370	color_override	143394A18	142ADFE84	1400831C0	14008913D
371	first_on_top	143394A60	142ADFEA4	1400831C0	140089176
372	path	143394AA8	142ADFEC4	1400831C0	1400891AF
373	dependencies	143394AF0	142ADFEE8	1400831C0	1400891E8
374	steam_id	143394B38	142ADFF04	1400831C0	140089221
375	pdx_id	143394B80	142ADFF28	1400831C0	14008925A
376	archive	143394BC8	142ADFF44	1400831C0	140089293
377	checksum	143394C10	142ADFF68	1400831C0	1400892CC
378	affects_checksum	143394C58	142ADFF88	1400831C0	140089305
379	has_set_language	143394CA0	142ADFFA8	1400831C0	14008933E
380	click_to_front	143394CE8	142ADFFC4	1400831C0	140089377
381	gamersgate_id	143394D30	142ADFFE8	1400831C0	1400893B0
382	replace_path	143394D78	142AE0008	1400831C0	1400893E9
383	user_dir	143394DC0	142AE0024	1400831C0	140089422
384	pdxmesh	143394E08	142AE0044	1400831C0	14008945B
385	pdxparticle	143394E50	142AE0068	1400831C0	140089494
386	diplomacy_construction	143394E98	142AE0088	1400831C0	1400894CD
387	merchant_construction	143394EE0	142AE00A4	1400831C0	140089506
388	chat_message	143394F28	142AE00C4	1400831C0	14008953F
389	chat_user_joined	143394F70	142AE00E4	1400831C0	140089578
390	chat_user_left	143394FB8	142AE0108	1400831C0	1400895B1
391	chat_user_joined_channel	143395000	142AE0124	1400831C0	1400895EA
392	chat_user_left_channel	143395048	142AE0148	1400831C0	140089623
393	chat_new_channel	143395090	142AE0168	1400831C0	14008965C
394	chat_close_channel	1433950D8	142AE0188	1400831C0	140089695
395	chat_sync	143395120	142AE01A4	1400831C0	1400896CE
396	chat_request_sync	143395168	142AE01C4	1400831C0	140089707
397	cursor	1433951B0	142AE01E8	1400831C0	140089740
398	show_position	1433951F8	142AE0208	1400831C0	140089779
399	hide_position	143395240	142AE0228	1400831C0	1400897B2
400	animation_type	143395288	142AE0244	1400831C0	1400897EB
401	animation_time	1433952D0	142AE0268	1400831C0	140089824
402	accelerated	143395318	142AE0284	1400831C0	14008985D
403	decelerated	143395360	142AE02A4	1400831C0	140089896
404	smoothstep	1433953A8	142AE02C8	1400831C0	1400898CF
405	linear	1433953F0	142AE02E8	1400831C0	140089908
406	can_be_lowres	143395438	142AE0308	1400831C0	140089941
407	particle	143395480	142AE0328	1400831C0	14008997A
408	subsystem	1433954C8	142AE0348	1400831C0	1400899B3
409	max_amount	143395510	142AE0368	1400831C0	1400899EC
410	emission	143395558	142AE0388	1400831C0	140089A25
411	velocity	1433955A0	142AE03A8	1400831C0	140089A5E
412	life	1433955E8	142AE03C8	1400831C0	140089A97
413	yaw	143395630	142AE03E4	1400831C0	140089AD0
414	force	143395678	142AE0408	1400831C0	140089B09
415	texture	1433956C0	142AE0428	1400831C0	140089B42
416	end	143395708	142AE0444	1400831C0	140089B7B
417	amount	143395750	142AE0464	1400831C0	140089BB4
418	op	143395798	142AE0488	1400831C0	140089BED
419	repeat	1433957E0	142AE04A4	1400831C0	140089C26
420	curve	143395828	142AE04C8	1400831C0	140089C5F
421	z	143395870	142AE04E4	1400831C0	140089C98
422	w	1433958B8	142AE0508	1400831C0	140089CD1
423	alpha	143395900	142AE0524	1400831C0	140089D0A
424	time	143395948	142AE0548	1400831C0	140089D43
425	mass	143395990	142AE0564	1400831C0	140089D7C
426	sort	1433959D8	142AE0584	1400831C0	140089DB5
427	invert	143395A20	142AE05A8	1400831C0	140089DEE
428	r	143395A68	142AE05C4	1400831C0	140089E27
