# CPersistent family 1.19.3 — fingerprint slot1=0x1424BEC50 & slot3=0x1424BE690
# class	vtable	writer[2]	reader[4]	slots(到下一RTTI表距离,非定案)
CFocusInlayWindowInstance	0x1427399d8	0x14012a2c0	0x140a6cf10	19
CFolderPosition	0x1429440b8	0x14012a2c0	0x140ad2a80	12
CFont	0x142b57ed0	0x14012a2c0	0x14237e6b0	26
CForceGovernmentAction	0x1429d3240	0x14151ff90	0x14151f540	35
CFrameAnimatedSpriteType	0x142b51c60	0x14012a2c0	0x142357650	158
CFriendlyAttitude	0x1427e0508	0x14012a2c0	0x1424bec40	18
CFront	0x142975b40	0x140f01a60	0x140efcf10	219
CFrontEndBackgroundDatabaseItem	0x14271a210	0x14012a2c0	0x140a31e00	9
CFrontSection	0x142975af0	0x140f01fd0	0x140efd790	9
CGameBitmapFont	0x1429e6be8	0x14012a2c0	0x14229ec60	58
CGameGraphics	0x14294a338	0x14012a2c0	0x14223b060	92
CGameLobby	0x1429672d8	0x142220340	0x14221fc10	233
CGamePlaySettings	0x142950990	0x140bbb630	0x140bbb1f0	152
CGameRule	0x14293b9b8	0x14012a2c0	0x140a37680	9
CGameRuleOption	0x14293ba08	0x14012a2c0	0x140a37b40	9
CGameRulesInstance	0x14293ba58	0x140a39830	0x140a37dc0	9
CGameState	0x1427210e0	0x1401f29a0	0x1401e59d0	14
CGarrisonReinforcementRequests	0x1429d2108	0x141510520	0x14150ef40	9
CGarrisonStatus	0x1429d2190	0x141510510	0x14150eef0	100
CGenerateAdvisorCommand	0x1429954b8	0x14226a110	0x142269e60	24
CGenerateWarGoalAction	0x14298bc60	0x1411415a0	0x14113ebc0	67
CGiveMedalCommand	0x142997b50	0x14226a110	0x142269e60	671
CGiveStateControlAction	0x14298e0c8	0x1411412e0	0x14113e2f0	67
CGraphicalCultureType	0x14293bff8	0x14012a2c0	0x1424bec40	11
CGraphicalMap	0x14294acf8	0x14012a2c0	0x140b56ae0	40
CGraphics	0x142b3d5f8	0x14012a2c0	0x14223b060	31
CGraphicsSettings	0x142b3b700	0x142229d60	0x142229630	83
CGuaranteeAction	0x14298c0a0	0x141141470	0x14113e7a0	67
CGuaranteeRelation	0x1429607c8	0x140d2daa0	0x140d2b100	23
CGuiAnimationReloader	0x142b3d8c0	0x14012a2c0	0x14223b0d0	134
CHideDecryptionCommand	0x142a2ecc8	0x14226a110	0x142269e60	24
